seed,path,policy,total_cost,total_utility,worst_tranche_cost,mean_hedge
22,2,50% hedge,6.177841181762668,-16.61482573203291,5.893485693258829,0.5
22,2,Always hedge,15.0,-15.09,0.15,1.0
22,2,Interventional PPO,10.476517353646964,-23.08476074503581,6.821957481964962,0.4670723271369934
22,2,Never hedge,-2.6443176364746677,-37.47635505338858,11.636971386517658,0.0
22,2,Observational PPO,12.762091410224942,-23.817740099679007,6.312414124142049,0.5106583002209664
22,3,50% hedge,6.139158320043587,-16.762045071360962,6.2651050158644255,0.5
22,3,Always hedge,15.0,-15.09,0.15,1.0
22,3,Interventional PPO,10.233451602428385,-22.962509378776492,7.253301574074167,0.46714288979768753
22,3,Never hedge,-2.7216833599128307,-38.154991642042084,12.38021003172885,0.0
22,3,Observational PPO,12.657490019789396,-23.86410040561725,6.710647573341023,0.5107212004065513
22,4,50% hedge,5.232542449061649,-16.979022740930244,6.358472535064142,0.5
22,4,Always hedge,15.0,-15.09,0.15,1.0
22,4,Interventional PPO,9.232171246706935,-23.379845646431075,7.34191567235613,0.46716294169425965
22,4,Never hedge,-4.534915101876706,-40.81096544883073,12.566945070128284,0.0
22,4,Observational PPO,11.606178700123012,-24.018781844152155,6.757923408990402,0.5107609564065934
22,5,50% hedge,6.7717290759165625,-17.06767334899347,5.827526146717045,0.5
22,5,Always hedge,15.0,-15.09,0.15,1.0
22,5,Interventional PPO,11.03292971816919,-23.40681189964138,6.749670477229309,0.4670945629477501
22,5,Never hedge,-1.4565418481668786,-38.13066987179312,11.50505229343409,0.0
22,5,Observational PPO,13.226926012746844,-24.098913222558313,6.247753441638708,0.510664923787117
22,6,50% hedge,6.523200083018773,-17.278353064552537,6.500904068674818,0.5
22,6,Always hedge,15.0,-15.09,0.15,1.0
22,6,Interventional PPO,10.825474079497281,-23.898628772933183,7.50994854802416,0.4670003408193588
22,6,Never hedge,-1.953599833962457,-39.45954934095128,12.851808137349636,0.0
22,6,Observational PPO,13.074536848527236,-24.526737946572254,6.913333138985787,0.5105896896123886
22,7,50% hedge,7.227063821446842,-18.964504125489547,6.977611245389629,0.5
22,7,Always hedge,15.0,-15.09,0.15,1.0
22,7,Interventional PPO,11.508874947016587,-25.791929941275882,8.039122848303172,0.4670614969730377
22,7,Never hedge,-0.5458723571063189,-44.69755259795669,13.805222490779258,0.0
22,7,Observational PPO,13.683410125692278,-26.174864925946444,7.395491323420209,0.5106240400671959
33,0,50% hedge,6.22325734119273,-16.904481604461306,5.969383495906524,0.5
33,0,Always hedge,15.0,-15.09,0.15,1.0
33,0,Interventional PPO,-2.9755476803427876,-4.608909380153843,4.552832605762853,0.542262746989727
33,0,Never hedge,-2.5534853176145447,-38.54247525759888,11.788766991813048,0.0
33,0,Observational PPO,-2.2663422585317146,-4.272301140976408,4.358778418638726,0.572328844666481
33,1,50% hedge,6.088169296227266,-17.53468083057523,7.313019840491205,0.5
33,1,Always hedge,15.0,-15.09,0.15,1.0
33,1,Interventional PPO,-3.0762473071487975,-5.081516943123929,5.595129747701434,0.5422885718941689
33,1,Never hedge,-2.8236614075454725,-41.311774652183864,14.47603968098241,0.0
33,1,Observational PPO,-2.392573129472693,-4.616284510047249,5.328810758189534,0.5722724810242653
33,2,50% hedge,6.177841181762668,-16.61482573203291,5.893485693258829,0.5
33,2,Always hedge,15.0,-15.09,0.15,1.0
33,2,Interventional PPO,-3.247738890240727,-4.336692008993455,4.518757437405732,0.5422477731108666
33,2,Never hedge,-2.6443176364746677,-37.47635505338858,11.636971386517658,0.0
33,2,Observational PPO,-2.4781651007386256,-4.010912719710835,4.30237885731533,0.5723672744631767
33,3,50% hedge,6.139158320043587,-16.762045071360962,6.2651050158644255,0.5
33,3,Always hedge,15.0,-15.09,0.15,1.0
33,3,Interventional PPO,-2.8941764149633546,-4.899922810576534,4.792513960204491,0.542359898686409
33,3,Never hedge,-2.7216833599128307,-38.154991642042084,12.38021003172885,0.0
33,3,Observational PPO,-2.3251898766640244,-4.312137005049463,4.570579729679013,0.5724398270249367
33,4,50% hedge,5.232542449061649,-16.979022740930244,6.358472535064142,0.5
33,4,Always hedge,15.0,-15.09,0.15,1.0
33,4,Interventional PPO,-3.7484775406970963,-4.787152136201154,4.847046997366834,0.5422879755496979
33,4,Never hedge,-4.534915101876706,-40.81096544883073,12.566945070128284,0.0
33,4,Observational PPO,-3.1104840969999854,-4.172612092238268,4.628710814691575,0.5722763308882713
33,5,50% hedge,6.7717290759165625,-17.06767334899347,5.827526146717045,0.5
33,5,Always hedge,15.0,-15.09,0.15,1.0
33,5,Interventional PPO,-2.7357156808689584,-4.7704582433801335,4.454943581087676,0.5423294666409493
33,5,Never hedge,-1.4565418481668786,-38.13066987179312,11.50505229343409,0.0
33,5,Observational PPO,-1.9788894244327613,-4.4269931520047345,4.255019535467861,0.5724030458927154
33,6,50% hedge,6.523200083018773,-17.278353064552537,6.500904068674818,0.5
33,6,Always hedge,15.0,-15.09,0.15,1.0
33,6,Interventional PPO,-2.803998993645469,-4.90459028157709,4.953068952997573,0.5423123776912689
33,6,Never hedge,-1.953599833962457,-39.45954934095128,12.851808137349636,0.0
33,6,Observational PPO,-2.064217840221802,-4.549555091236736,4.731757350720411,0.5722656166553497
33,7,50% hedge,7.227063821446842,-18.964504125489547,6.977611245389629,0.5
33,7,Always hedge,15.0,-15.09,0.15,1.0
33,7,Interventional PPO,-1.9783416357388128,-6.422268646989688,5.329533304050368,0.5421797066926957
33,7,Never hedge,-0.5458723571063189,-44.69755259795669,13.805222490779258,0.0
33,7,Observational PPO,-1.3653082082406518,-5.845460070627191,5.075827957311027,0.572287777364254
